stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id
8162,8162,Vallituntie,61.48687,24.08152,C
8163,8163,Reumantie,61.48844,24.08344,C
8164,8164,Reumantie,61.48856,24.08408,C
8166,8166,Pikonlinna,61.49250,24.08631,C
8170,8170,Vällintie,61.48024,23.97042,B
8171,8171,Vällintie,61.48067,23.97002,B
8174,8174,Tarastenjärvi,61.53651,23.98082,C
8175,8175,Tarastenjärvi,61.53936,23.97811,C
8176,8176,Ruutanantie ,61.53348,23.99454,C
8177,8177,Ruutanantie ,61.53376,23.99427,C
8180,8180,Ruutana 9-tie I,61.53691,23.99543,C
8181,8181,Ruutana 9-tie L,61.53715,23.99283,C
8190,8190,Laureeninkallio,61.52961,23.99826,C
8200,8200,Laureenintie,61.53036,23.99998,C
8201,8201,Laureenintie,61.53064,23.99901,C
8202,8202,Honkatie,61.52938,24.00560,C
8203,8203,Honkatie,61.52995,24.00406,C
8204,8204,Leppätie,61.52860,24.01087,C
8205,8205,Leppätie,61.52921,24.00978,C
8206,8206,Ruutana,61.52669,24.01858,C
8207,8207,Ruutana,61.52721,24.01760,C
8208,8208,Lakolammentie,61.52583,24.02426,C
8209,8209,Lakolammentie,61.52619,24.02146,C
8210,8210,Korvenperä,61.52362,24.03264,C
8211,8211,Korvenperä,61.52388,24.03229,C
8300,8300,Satusedäntie,61.52341,24.03741,C
8301,8301,Satusedäntie,61.52344,24.03634,C
8303,8303,Ranssila,61.52428,24.04256,C
8305,8305,Mustoontie,61.52583,24.04702,C
8307,8307,Muistomerkintie,61.53259,24.04946,C
8309,8309,Suinula,61.53599,24.05177,C
8311,8311,Suinula as th,61.53904,24.04868,C
8313,8313,Korvenperäntie 40,61.52401,24.04159,C
8342,8342,Mellijärvi,61.53982,24.01850,C
8343,8343,Mellijärvi,61.53975,24.01981,C
8344,8344,Siperiantie,61.53812,24.00922,C
8345,8345,Siperiantie,61.53797,24.00999,C
8350,8350,Myllytie,61.45586,24.11786,C
8351,8351,Myllytie,61.45529,24.11724,C
8352,8352,Vääksynpolku,61.45970,24.12088,C
8353,8353,Vääksynpolku,61.45911,24.12004,C
8354,8354,Ranta-Virkkula,61.46325,24.12378,C
8355,8355,Ranta-Virkkula,61.46264,24.12294,C
8356,8356,Kesäpirtti,61.47040,24.13028,C
8357,8357,Kesäpirtti,61.47048,24.13070,C
8358,8358,Kaipaanniemi,61.47315,24.13530,C
8359,8359,Kaipaanniemi,61.47293,24.13457,C
8360,8360,Suomatka,61.47616,24.14058,C
8361,8361,Suomatka,61.47589,24.13979,C
8362,8362,Hokkanen,61.48004,24.14736,C
8363,8363,Hokkanen,61.48014,24.14709,C
8364,8364,Kurkiniemi,61.48342,24.15289,C
8365,8365,Kurkiniemi,61.48337,24.15254,C
8366,8366,Keso,61.49001,24.15910,C
8367,8367,Keso,61.48944,24.15799,C
8368,8368,Talvilahti,61.49255,24.16220,C
8369,8369,Talvilahti,61.49218,24.16156,C
8370,8370,Kaitaa,61.49657,24.16568,C
8371,8371,Kaitaa,61.49720,24.16645,C
8372,8372,Sammalisto,61.50356,24.18410,D
8373,8373,Sammalisto,61.50353,24.18399,D
8374,8374,Rutamäki,61.50620,24.19627,D
8375,8375,Rutamäki,61.50607,24.19551,D
8376,8376,Sillanmäki,61.50796,24.20504,D
8377,8377,Sillanmäki,61.50792,24.20357,D
8378,8378,Vahderpää,61.50922,24.21019,D
8379,8379,Vahderpää,61.50906,24.20855,D
8380,8380,Muuramäki,61.51197,24.21832,D
8381,8381,Muuramäki,61.51156,24.21661,D
8382,8382,Raudanmaantie,61.51745,24.22434,D
8383,8383,Raudanmaantie,61.51728,24.22366,D
8384,8384,Järvikulmantie,61.52234,24.22935,D
8385,8385,Järvikulmantie,61.52187,24.22821,D
8386,8386,Ranta-Einola,61.52443,24.23293,D
8387,8387,Ranta-Einola,61.52388,24.23181,D
8388,8388,Leppoja,61.52672,24.23744,D
8389,8389,Leppoja,61.52644,24.23625,D
8390,8390,Hopearanta,61.52934,24.24652,D
8391,8391,Hopearanta,61.52931,24.24530,D
8392,8392,Parantaja,61.53289,24.25571,D
8393,8393,Parantaja,61.53246,24.25422,D
8394,8394,Tulokkaantie,61.53433,24.26162,D
8395,8395,Tulokkaantie,61.53421,24.26018,D
8396,8396,Kautialan koulu,61.53543,24.26601,D
8397,8397,Kautialan koulu,61.53527,24.26616,D
8398,8398,Isonkiventie,61.53632,24.27024,D
8399,8399,Isonkiventie,61.53624,24.27078,D
8400,8400,Karppilanrantatie,61.53863,24.28214,D
8401,8401,Karppilanrantatie,61.53844,24.28052,D
8402,8402,Peräkorventie,61.54020,24.28954,D
8403,8403,Peräkorventie,61.54008,24.28863,D
8404,8404,Ponsantie,61.54232,24.29641,D
8405,8405,Ponsantie,61.54225,24.29522,D
8406,8406,Neulaniemi,61.54378,24.30372,D
8407,8407,Neulaniemi,61.54365,24.30215,D
8408,8408,Rantalanlahti,61.54575,24.31160,D
8409,8409,Rantalanlahti,61.54544,24.31026,D
8410,8410,Rantahaka,61.54910,24.31611,D
8412,8412,Kirkkosaarentie,61.55107,24.31526,D
8413,8413,Kirkkosaarentie,61.55019,24.31534,D
8414,8414,Ponsa,61.55417,24.31334,D
8415,8415,Ponsa,61.55345,24.31357,D
8416,8416,Pihtikorpi,61.55864,24.30761,D
8417,8417,Pihtikorpi,61.55825,24.30745,D
8418,8418,Mäyrä,61.56845,24.30414,D
8419,8419,Mäyrä,61.56778,24.30444,D
8420,8420,Kautio,61.57671,24.30065,D
8421,8421,Kautio,61.57648,24.29994,D
8422,8422,Rauhala,61.58956,24.30279,E
8423,8423,Rauhala,61.58890,24.30285,E
8424,8424,Tollionmaa,61.59360,24.30631,E
8425,8425,Tollionmaa,61.59401,24.30676,E
8426,8426,Rajalahdentie,61.59807,24.31118,E
8427,8427,Rajalahdentie,61.59770,24.31087,E
8428,8428,Naappila,61.60685,24.30975,E
8429,8429,Naappila,61.60649,24.30939,E
8430,8430,Orivedentie,61.61011,24.30868,E
8431,8431,Orivedentie,61.61038,24.30792,E
8432,8432,Pukkivuori,61.61425,24.30370,E
8433,8433,Pukkivuori,61.61447,24.30298,E
8434,8434,Väinöläntie,61.62314,24.30538,E
8435,8435,Väinöläntie,61.62338,24.30607,E
8436,8436,Hyväsillantie,61.62423,24.31121,E
8437,8437,Hyväsillantie,61.62402,24.30973,E
8438,8438,Kapulantie,61.62682,24.31887,E
8439,8439,Kapulantie,61.62684,24.31836,E
8440,8440,Hermannintie,61.63039,24.32405,E
8441,8441,Hermannintie,61.63112,24.32419,E
8442,8442,Pysäkkitie,61.63392,24.33101,E
8443,8443,Pysäkkitie,61.63488,24.33242,E
8444,8444,Ruskatie,61.64009,24.33984,E
8445,8445,Ruskatie,61.63916,24.33801,E
8446,8446,Hiedantie,61.64245,24.34717,E
8447,8447,Hiedantie,61.64191,24.34480,E
8448,8448,Varismäki,61.64461,24.35255,E
8449,8449,Varismäki,61.64424,24.35124,E
8470,8470,Oriveden asema,61.64827,24.35765,E
8471,8471,Oriveden asema,61.64753,24.35636,E
8474,8474,Sairaalantie,61.66494,24.35731,E
8477,8477,Naarannotko,61.66797,24.35520,E
8480,8480,Oriveden keskusta,61.67589,24.35781,E
8481,8481,Oriveden keskusta,61.67678,24.35714,E
8482,8482,Oriveden hautausmaa,61.67244,24.35693,E
8483,8483,Oriveden hautausmaa,61.67273,24.35651,E
8485,8485,Orivesi,61.67679,24.35327,E
8486,8486,Urheilutie,61.67871,24.35804,E
8487,8487,Urheilutie,61.67836,24.35773,E
8488,8488,Keskustie P,61.68233,24.35729,E
8489,8489,Keskustie 50,61.68172,24.35776,E
8490,8490,Järvenpää,61.54627,24.66551,F
8491,8491,Järvenpää,61.54623,24.66533,F
8494,8494,Eräjärvi,61.58071,24.55682,E
8495,8495,Eräjärvi,61.58011,24.55762,E
8500,8500,Maatiala,61.48260,23.55339,C
8501,8501,Maatiala,61.48178,23.55528,C
8502,8502,Kennonnokka,61.48205,23.54086,C
8503,8503,Kennonnokka,61.48192,23.54136,C
8504,8504,Nokian kirkko,61.48046,23.53108,C
8505,8505,Nokian kirkko,61.48028,23.53123,C
8506,8506,Nokian lukio,61.48092,23.51848,C
8507,8507,Nokian lukio,61.48061,23.51981,C
8508,8508,Kylmäojanpuisto,61.48145,23.51219,C
8509,8509,Kylmäojanpuisto,61.48125,23.51236,C
8510,8510,Tyttölä,61.48356,23.50712,C
8511,8511,Tyttölä,61.48342,23.50703,C
8512,8512,Härkitie,61.48141,23.51014,C
8520,8520,Nokian asema D,61.48105,23.50182,C
8522,8522,Nokian asema A,61.48101,23.50155,C
8524,8524,Nokian asema C,61.48096,23.50167,C
8526,8526,Nokian asema B,61.48114,23.50180,C
8528,8528,Nokian asema E,61.48049,23.50161,C
8530,8530,Nokian ammattiopisto,61.48565,23.51232,C
8531,8531,Nokian ammattiopisto,61.48572,23.51083,C
8532,8532,Kankaantaankatu,61.48608,23.52121,C
8533,8533,Kankaantaankatu,61.48605,23.52323,C
8534,8534,Kankaantaka,61.48628,23.52995,C
8535,8535,Kankaantaka,61.48601,23.52952,C
8536,8536,Pajakatu,61.48839,23.52992,C
8537,8537,Pajakatu,61.48836,23.52953,C
8538,8538,Öljytie,61.49095,23.53315,C
8539,8539,Öljytie,61.49109,23.53288,C
8554,8554,Perkiönkatu,61.49408,23.52861,C
8555,8555,Perkiönkatu,61.49337,23.52758,C
8560,8560,Halimaa,61.49061,23.51362,C
8561,8561,Halimaa,61.49073,23.51359,C
8562,8562,Pajakallionkatu,61.49084,23.51925,C
8563,8563,Pajakallionkatu,61.49098,23.51732,C
8564,8564,Ilkan alue,61.49176,23.52430,C
8565,8565,Ilkan alue,61.49174,23.52300,C
8567,8567,Rapinkorventie,61.49508,23.53032,C
8569,8569,Kankaantaan koulu,61.48595,23.51931,C
8570,8570,Villa Silva,61.48551,23.50300,C
8571,8571,Villa Silva,61.48532,23.50287,C
8572,8572,Myllyhaka,61.48752,23.49552,C
8573,8573,Myllyhaka,61.48738,23.49535,C
8576,8576,Lähdekorpi,61.49121,23.49642,C
8577,8577,Lähdekorpi,61.49099,23.49607,C
8578,8578,Notkotie,61.49472,23.49369,C
8579,8579,Notkotie,61.49459,23.49354,C
8580,8580,Pitkäkorventie,61.49435,23.48708,C
8581,8581,Pitkäkorventie,61.49439,23.48830,C
8582,8582,Lähdeniitty,61.49358,23.48284,C
8583,8583,Lähdeniitty,61.49349,23.48329,C
8584,8584,Valimokatu,61.49194,23.47914,C
8585,8585,Valimokatu,61.49186,23.47954,C
8586,8586,Taka-Lauttala,61.48770,23.47725,C
8587,8587,Taka-Lauttala,61.48764,23.47760,C
8588,8588,Torvisienenkatu,61.48432,23.47112,C
8589,8589,Torvisienenkatu,61.48455,23.47177,C
8590,8590,Metsäsepänpuisto,61.48065,23.46898,C
8591,8591,Metsäsepänpuisto,61.48065,23.46980,C
8596,8596,Koppelonkatu,61.47674,23.45580,C
8597,8597,Koppelonkatu,61.47674,23.45614,C
8598,8598,Harjuniitty,61.47215,23.45336,C
8600,8600,Nokian terveyskeskus,61.47934,23.50311,C
8601,8601,Nokian terveyskeskus,61.47965,23.50277,C
8602,8602,Pirkkalaistori,61.47754,23.51009,C
8603,8603,Pirkkalaistori,61.47780,23.51012,C
8604,8604,Kumitehdas,61.47393,23.50531,C
8605,8605,Kumitehdas,61.47371,23.50578,C
8606,8606,Orelinkatu,61.46797,23.50380,C
8607,8607,Orelinkatu,61.46796,23.50431,C
8608,8608,Nuijamiestentie,61.46696,23.50801,C
8609,8609,Nuijamiestentie,61.46692,23.50749,C
8610,8610,Viholanraitti,61.46852,23.51313,C
8611,8611,Viholanraitti,61.46867,23.51227,C
8612,8612,Eden,61.46860,23.52491,C
8613,8613,Eden,61.46826,23.52501,C
8614,8614,Vihola,61.46547,23.51910,C
8615,8615,Vihola,61.46551,23.51953,C
8616,8616,Päivärinteentie,61.46269,23.51658,C
8617,8617,Päivärinteentie,61.46242,23.51693,C
8618,8618,Räikäntie,61.46067,23.51134,C
8619,8619,Räikäntie,61.46073,23.51252,C
8620,8620,Piilenmäenkatu,61.45852,23.50982,C
8621,8621,Piilenmäenkatu,61.45862,23.51022,C
8622,8622,Pähkinämäentie,61.45741,23.50705,C
8623,8623,Pähkinämäentie,61.45744,23.50767,C
8624,8624,Keho,61.45602,23.50304,C
8625,8625,Keho,61.45617,23.50340,C
8626,8626,Menkala,61.45968,23.50353,C
8627,8627,Menkala,61.45995,23.50303,C
8628,8628,Ilveskatu,61.45946,23.49854,C
8629,8629,Ilveskatu,61.45962,23.49832,C
8630,8630,Koskenmäen koulu,61.45952,23.49414,C
8631,8631,Koskenmäen koulu,61.45971,23.49412,C
8632,8632,Kenttäkatu,61.46137,23.48977,C
8633,8633,Kenttäkatu,61.46141,23.49006,C
8634,8634,Ruskeepää,61.46416,23.48701,C
8635,8635,Ruskeepää,61.46426,23.48687,C
8636,8636,Kalhunkatu,61.46351,23.48089,C
8637,8637,Kalhunkatu,61.46373,23.48051,C
8638,8638,Ristiveräjä,61.46462,23.47844,C
8639,8639,Ristiveräjä,61.46448,23.47832,C
8640,8640,Nikkarinkatu,61.46626,23.48845,C
8641,8641,Nikkarinkatu,61.46622,23.48899,C
8642,8642,Ahteensivu,61.46789,23.49786,C
8643,8643,Ahteensivu,61.46789,23.49872,C
8644,8644,Tiesenmäki,61.46900,23.50205,C
8645,8645,Tiesenmäki,61.46961,23.50412,C
8647,8647,Viholan ramppi,61.46809,23.52262,C
8650,8650,Suonsivuntie,61.45926,23.49045,C
8651,8651,Suonsivuntie,61.45930,23.49141,C
8652,8652,Rälssikatu,61.45305,23.48256,C
8653,8653,Rälssikatu,61.45314,23.48281,C
8654,8654,Tupsunluhta,61.44896,23.48422,C
8655,8655,Tupsunluhta,61.44899,23.48457,C
8656,8656,Tervasuo,61.44413,23.47649,C
8657,8657,Tervasuo,61.44452,23.47746,C
8658,8658,Sammalisto,61.44018,23.46703,C
8662,8662,Poutunpuisto,61.47993,23.50988,C
8663,8663,Poutunpuisto,61.48003,23.51022,C
8664,8664,Kankaantaan koulu ,61.48550,23.51977,C
8666,8666,Nokia Pirkkalaistie,61.47663,23.51010,C
8667,8667,Nokia Pirkkalaistie,61.47624,23.50993,C
8669,8669,Rokanoja,61.49643,23.34513,D
8680,8680,Siuro Linnavuori th,61.47575,23.34380,D
8681,8681,Siuro Linnavuori th,61.47508,23.34438,D
8682,8682,Rokanoja,61.49652,23.34531,D
8683,8683,Riihelä,61.50039,23.34344,D
8684,8684,Riihelä ,61.50025,23.34389,D
8685,8685,Färmintie,61.47704,23.32184,D
8686,8686,Färmintie ,61.47708,23.32155,D
8690,8690,Linnavuori,61.49337,23.34834,D
8691,8691,Linnavuori,61.49328,23.34835,D
8694,8694,Murhasaari,61.50281,23.34094,D
8695,8695,Murhasaari,61.50268,23.34088,D
8696,8696,Purso,61.48265,23.32674,D
8697,8697,Purso,61.48283,23.32679,D
8698,8698,Siuron koulu,61.47448,23.31726,D
8700,8700,Siuro kirkko,61.47483,23.33754,D
8701,8701,Siuro kirkko,61.47482,23.33722,D
8703,8703,Kuljuntie 12,61.47452,23.32569,D
8704,8704,Kuljuntie 15,61.47458,23.32512,D
8706,8706,Pitkäniemi th,61.48703,23.57858,B
8708,8708,Pitkäniementie,61.48493,23.58274,B
8709,8709,Pitkäniementie,61.48548,23.58033,B
8710,8710,Pitkäniemi,61.48118,23.57896,B
8714,8714,Pitkäniemen päiväkoti,61.48320,23.58000,B
8715,8715,Pitkäniemen päiväkoti,61.48392,23.58112,B
8720,8720,Kaarikatu,61.48851,23.51051,C
8721,8721,Kaarikatu,61.48817,23.50967,C
8722,8722,Rounionkatu,61.48519,23.50551,C
8723,8723,Rounionkatu,61.48531,23.50525,C
8728,8728,Kunnansarka,61.49506,23.53586,C
8729,8729,Kunnansarka,61.49519,23.53536,C
8730,8730,Lehtimäenkatu,61.49488,23.54637,C
8731,8731,Lehtimäenkatu,61.49475,23.54535,C
8732,8732,Välimaankatu,61.49740,23.55547,C
8733,8733,Välimaankatu,61.49725,23.55426,C
8734,8734,Leppäkorpi,61.49895,23.56321,C
8735,8735,Leppäkorpi,61.49892,23.56229,C
8750,8750,Kalkku th,61.49047,23.58778,B
8751,8751,Kalkku th,61.49067,23.59079,B
8752,8752,Pitkäniemi th,61.48658,23.57688,B
8753,8753,Pitkäniemi th,61.48720,23.57939,B
8756,8756,Sarpatti,61.48303,23.55202,C
8757,8757,Sarpatti,61.48286,23.55285,C
8760,8760,Hintsa,61.46300,23.46709,C
8761,8761,Hintsa,61.46331,23.46850,C
8762,8762,Väinäntie,61.45902,23.45219,C
